202tabanP;2021tabanY;2022tabanP;2022tabanY;2023tabanP;2023tabanY
375,8318;9,3;406,1081;8,89;436,5163;8,92
375,6269;9,34;406;8,94;436,3233;8,96
375,5377;9,36;405,8711;8,93;436,2819;8,96
375,4841;9,37;405,5519;8,99;436,2118;8,98
375,3517;9,39;405,0854;9,06;436,1883;8,98
375,3493;9,39;405,0392;9,07;436,0472;9
375,3218;9,4;404,9395;9,09;436,0451;9
375,1537;9,43;404,8832;9,09;436,0436;9
375,0966;9,44;404,8346;9,1;435,952;9,02
375,0763;9,44;404,5986;9,15;435,7702;9,05
375;9,38;404,4816;9,17;435,7539;9,05
374,6152;9,52;404,2526;9,21;435,7495;9,05
374,5411;9,54;404,1547;9,22;435,7464;9,05
374,2916;9,58;403,9915;9,25;435,7436;9,06
374,0494;9,62;403,9478;9,26;435,732;9,06
374,0312;9,63;403,7362;9,29;435,7304;9,06
373,8186;9,66;403,1597;9,39;435,604;9,08
373,7321;9,68;403,1499;9,39;435,5219;9,09
373,6363;9,69;402,7626;9,46;435,5219;9,09
